Drug_ID	Drug	Y
"2-chlorobutane"	"CC[C@H](C)Cl"	0.0
"hexylbenzene"	"CCCCCCc1ccccc1"	-0.04
"2-chlorosyringaldehyde"	"COc1cc(C=O)c(Cl)c(OC)c1O"	-7.78
"m-bis(trifluoromethyl)benzene"	"FC(F)(F)c1cccc(C(F)(F)F)c1"	1.07
"1-benzylimidazole"	"c1ccc(Cn2ccnc2)cc1"	-7.63
"naphthalen-1-amine"	"Nc1cccc2ccccc12"	-7.28
"diethyl propanedioate"	"CCOC(=O)CC(=O)OCC"	-6.0
"1-cyclopropylethanone"	"CC(=O)C1CC1"	-4.61
"pyrrole"	"c1cc[nH]c1"	-4.78
"diflunisal"	"O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O"	-9.4
"1,4-dimethylcyclohexane"	"CC1CCC(C)CC1"	2.11
"cyclohexanol"	"OC1CCCCC1"	-5.46
"Amitriptyline"	"CN(C)CCC=C1c2ccccc2CCc2ccccc21"	-7.43
"4-fluorophenol"	"Oc1ccc(F)cc1"	-6.19
"2-chloroaniline"	"Nc1ccccc1Cl"	-4.91
"1,2,4-trimethylbenzene"	"Cc1ccc(C)c(C)c1"	-0.86
"1-ethyl-2-methylbenzene"	"CCc1ccccc1C"	-0.85
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone"	"C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1"	-3.75
"biphenyl"	"c1ccc(-c2ccccc2)cc1"	-2.7
"2,3-dimethylphenol"	"Cc1cccc(O)c1C"	-6.16
"methylparathion"	"COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1"	-7.19
"diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane"	"CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1"	-6.74
"1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine"	"CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]"	-5.66
"methylsulfanylmethane"	"CSC"	-1.61
"ketoprofen"	"C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1"	-10.78
"cyclopentanol"	"OC1CCCC1"	-5.49
"methyl pentanoate"	"CCCCC(=O)OC"	-2.56
"2-methylpent-1-ene"	"C=C(C)CCC"	1.47
"flurbiprofen"	"C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1"	-8.42
"nitralin"	"CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-]"	-7.98
"chloroethylene"	"C=CCl"	-0.59
"N,N-4-trimethylbenzamide"	"Cc1ccc(C(=O)N(C)C)cc1"	-9.76
"heptan-4-one"	"CCCC(=O)CCC"	-2.92
"methyl benzoate"	"COC(=O)c1ccccc1"	-3.92
"4-methylbenzaldehyde"	"Cc1ccc(C=O)cc1"	-4.27
"propyl butanoate"	"CCCOC(=O)CCC"	-2.28
"piperazine"	"C1CNCCN1"	-7.4
"dialifor"	"CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O"	-5.74
"2-ethoxyethanol"	"CCOCCO"	-6.69
"3-methylpentane"	"CCC(C)CC"	2.51
"2-methylpyrazine"	"Cc1cnccn1"	-5.51
"1-nitropropane"	"CCC[N+](=O)[O-]"	-3.34
"mesitylene"	"Cc1cc(C)cc(C)c1"	-0.9
"5-fluorouracil"	"O=c1[nH]cc(F)c(=O)[nH]1"	-16.92
"ethanol"	"CCO"	-5.0
"1,4-dimethylnaphthalene"	"Cc1ccc(C)c2ccccc12"	-2.82
"2,3,7,8-tetrachlorodibenzo-p-dioxin"	"Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2"	-3.37
"dichlobenil"	"N#Cc1c(Cl)cccc1Cl"	-4.71
"ethyl formate"	"CCOC=O"	-2.56
"1,2,4,5-tetrachlorobenzene"	"Clc1cc(Cl)c(Cl)cc1Cl"	-1.34
"diethoxymethoxybenzene"	"CCOC(OCC)Oc1ccccc1"	-5.23
"3-nitrophenol"	"O=[N+]([O-])c1cccc(O)c1"	-9.62
"octan-1-ol"	"CCCCCCCCO"	-4.09
"but-1-ene"	"C=CCC"	1.38
"carbon tetrachloride"	"ClC(Cl)(Cl)Cl"	0.08
"2-phenylethanol"	"OCCc1ccccc1"	-6.79
"fenuron"	"CN(C)C(=O)Nc1ccccc1"	-9.13
"methyldisulfanylmethane"	"CSSC"	-1.83
"captan"	"O=C1[C@@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl"	-9.01
"2,3-diacetoxypropyl acetate"	"CC(=O)OCC(COC(C)=O)OC(C)=O"	-8.84
"methoxymethane"	"COC"	-1.91
"hexane"	"CCCCCC"	2.48
"1,2-dibromoethane"	"BrCCBr"	-2.33
"1,1,1,2,2-pentachloroethane"	"ClC(Cl)C(Cl)(Cl)Cl"	-1.23
"5-trifluoromethyluracil"	"O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1"	-15.46
"2,6-dimethylaniline"	"Cc1cccc(C)c1N"	-5.21
"propyl acetate"	"CCCOC(C)=O"	-2.79
"quinoline"	"c1ccc2ncccc2c1"	-5.72
"ethanethiol"	"CCS"	-1.14
"ethyldisulfanylethane"	"CCSSCC"	-1.64
"thiophene"	"c1ccsc1"	-1.4
"1-ethylnaphthalene"	"CCc1cccc2ccccc12"	-2.4
"pentan-2-one"	"CCCC(C)=O"	-3.52
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene"	"Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl"	-4.61
"profluralin"	"CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]"	-2.45
"acetic acid"	"CC(=O)O"	-6.69
"acetaldehyde"	"CC=O"	-3.5
"3-nitroaniline"	"Nc1cccc([N+](=O)[O-])c1"	-8.84
"hex-1-yne"	"C#CCCCC"	0.29
"2-methoxyaniline"	"COc1ccccc1N"	-6.12
"phenol"	"Oc1ccccc1"	-6.6
"propanenitrile"	"CCC#N"	-3.84
"naphthalen-1-ol"	"Oc1cccc2ccccc12"	-7.67
"butyl acetate"	"CCCCOC(C)=O"	-2.64
"aldicarb"	"CNC(=O)O/N=C\C(C)(C)SC"	-9.84
"o-cresol"	"Cc1ccccc1O"	-5.9
"2-methylpropanal"	"CC(C)C=O"	-2.86
"propionamide"	"CCC(N)=O"	-9.4
"1-bromopropane"	"CCCBr"	-0.56
"2-chloropropane"	"CC(C)Cl"	-0.25
"1,3-dichloropropane"	"ClCCCCl"	-1.89
"4-nitrophenol"	"O=[N+]([O-])c1ccc(O)cc1"	-10.64
"1,2-dichloropropane"	"C[C@H](Cl)CCl"	-1.27
"4-chloroaniline"	"Nc1ccc(Cl)cc1"	-5.9
"1-amino-9,10-anthracenedione"	"Nc1cccc2c1C(=O)c1ccccc1C2=O"	-9.44
"2,3-dimethylpyridine"	"Cc1cccnc1C"	-4.82
"pyridine-4-carbonitrile"	"N#Cc1ccncc1"	-6.02
"diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane"	"CCOP(=S)(OCC)SCSCC"	-4.37
"1-cyclohexylethanone"	"CC(=O)C1CCCCC1"	-3.9
"2-methylbenzaldehyde"	"Cc1ccccc1C=O"	-3.93
"1-(4-pyridyl)ethanone"	"CC(=O)c1ccncc1"	-7.62
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin"	"Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2"	-3.71
"acetone"	"CC(C)=O"	-3.8
"2-methylprop-1-ene"	"C=C(C)C"	1.16
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene"	"Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1"	-3.61
"1-nitropentane"	"CCCCC[N+](=O)[O-]"	-2.82
"(2E)-hex-2-enal"	"CCC/C=C/C=O"	-3.68
"N,N-dimethyl-4-nitro-benzamide"	"CN(C)C(=O)c1ccc([N+](=O)[O-])cc1"	-11.95
"tetrahydrofuran"	"C1CCOC1"	-3.47
"octane"	"CCCCCCCC"	2.88
"trifluralin"	"CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]"	-3.25
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate"	"C=C[C@@](C)(CCC=C(C)C)OC(C)=O"	-2.49
"1,3-bis-(nitrooxy)butane"	"C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-]"	-4.29
"2-isopropoxypropane"	"CC(C)OC(C)C"	-0.53
"2-methylhexane"	"CCCCC(C)C"	2.93
"pentachloronitrobenzene"	"O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"	-5.22
"2-bromo-2-chloro-1,1,1-trifluoro-ethane"	"FC(F)(F)[C@H](Cl)Br"	-0.11
"1-butoxybutane"	"CCCCOCCCC"	-0.83
"pentylcyclopentane"	"CCCCCC1CCCC1"	2.55
"2,4-dimethylpentane"	"CC(C)CC(C)C"	2.83
"2,5-dimethylpyridine"	"Cc1ccc(C)nc1"	-4.72
"but-2-enal"	"C/C=C/C=O"	-4.22
"3-methylhexane"	"CCC[C@H](C)CC"	2.71
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene"	"Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1"	-1.96
"1,2,2-trifluoroethoxybenzene"	"FC(F)[C@@H](F)Oc1ccccc1"	-1.29
"1,2-dimethoxyethane"	"COCCOC"	-4.84
"sec-butylbenzene"	"CC[C@H](C)c1ccccc1"	-0.45
"3-phenylpropan-1-ol"	"OCCCc1ccccc1"	-6.92
"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate"	"CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O"	-6.23
"methyl 4-methoxybenzoate"	"COC(=O)c1ccc(OC)cc1"	-5.33
"N-(3,4-dichlorophenyl)propanimidic acid"	"CCC(=O)Nc1ccc(Cl)c(Cl)c1"	-7.78
"naproxen"	"COc1ccc2cc([C@H](C)C(=O)O)ccc2c1"	-10.21
"octafluorocyclobutane"	"FC1(F)C(F)(F)C(F)(F)C1(F)F"	3.43
"isopentyl acetate"	"CC(=O)OCCC(C)C"	-2.21
"1-chlorohexane"	"CCCCCCCl"	0.0
"4-methylpentan-2-one"	"CC(=O)CC(C)C"	-3.05
"hexanal"	"CCCCCC=O"	-2.81
"3-chloroaniline"	"Nc1cccc(Cl)c1"	-5.82
"morpholine"	"C1COCCN1"	-7.17
"1,1-diethoxyethane"	"CCOC(C)OCC"	-3.28
"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline"	"CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]"	-3.51
"methanethiol"	"CS"	-1.2
"endosulfan alpha"	"O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl"	-4.23
"1-(4-methoxyphenyl)ethanone"	"COc1ccc(C(C)=O)cc1"	-4.4
"prop-2-en-1-ol"	"C=CCO"	-5.03
"methylsulfanylethane"	"CCSC"	-1.5
"pentyl acetate"	"CCCCCOC(C)=O"	-2.51
"1,2,3,5-tetrachlorobenzene"	"Clc1cc(Cl)c(Cl)c(Cl)c1"	-1.62
"1-phenylethanone"	"CC(=O)c1ccccc1"	-4.58
"chloroethane"	"CCCl"	-0.63
"propylcyclopentane"	"CCCC1CCCC1"	2.13
"1,3,5-trichlorobenzene"	"Clc1cc(Cl)cc(Cl)c1"	-0.78
"propyl paraben"	"CCCOC(=O)c1ccc(O)cc1"	-9.37
"3-chlorophenol"	"Oc1cccc(Cl)c1"	-6.62
"3-methylbutan-1-ol"	"CC(C)CCO"	-4.42
"pentan-1-amine"	"CCCCCN"	-4.09
"terbacil"	"Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl"	-11.14
"2,2,5-trimethylhexane"	"CC(C)CCC(C)(C)C"	2.93
"2-butoxyethanol"	"CCCCOCCO"	-6.25
"endrin"	"ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@H]3[C@@]1(Cl)C2(Cl)Cl"	-4.82
"benzamide"	"NC(=O)c1ccccc1"	-11.0
"2-nitropropane"	"CC(C)[N+](=O)[O-]"	-3.13
"glycerol"	"OCC(O)CO"	-13.43
"1-iodopropane"	"CCCI"	-0.53
"2-methoxyethanamine"	"COCCN"	-6.55
"1,1,1,2-tetrachloroethane"	"ClCC(Cl)(Cl)Cl"	-1.43
"methyl propanoate"	"CCC(=O)OC"	-2.93
"cyclopentane"	"C1CCCC1"	1.2
"3-ethylpyridine"	"CCc1cccnc1"	-4.59
"3,5-dimethylpyridine"	"Cc1cncc(C)c1"	-4.84
"2-methoxyethanol"	"COCCO"	-6.619999999999999
"methyl formate"	"COC=O"	-2.78
"naphthalen-2-amine"	"Nc1ccc2ccccc2c1"	-7.47
"4-methyl-1H-imidazole"	"Cc1c[nH]cn1"	-10.27
"1-methyl-3-nitro-benzene"	"Cc1cccc([N+](=O)[O-])c1"	-3.45
"1,4-dichlorobutane"	"ClCCCCCl"	-2.32
"nitroxyacetone"	"CC(=O)CO[N+](=O)[O-]"	-5.99
"tert-butylbenzene"	"CC(C)(C)c1ccccc1"	-0.44
"methyl hexanoate"	"CCCCCC(=O)OC"	-2.49
"1,1,1-trifluoropropan-2-ol"	"C[C@H](O)C(F)(F)F"	-4.16
"1-bromo-pentane"	"CCCCCBr"	-0.1
"oct-1-ene"	"C=CCCCCCC"	1.92
"6-isopropyl-3-methyl-1-cyclohex-2-enone"	"CC1=CC(=O)[C@H](C(C)C)CC1"	-4.51
"propan-2-ol"	"CC(C)O"	-4.74
"hexan-1-amine"	"CCCCCCN"	-3.95
"3-nitrooxypropyl nitrate"	"O=[N+]([O-])OCCCO[N+](=O)[O-]"	-4.8
"2,4-dimethylphenol"	"Cc1ccc(O)c(C)c1"	-6.01
"pentan-1-ol"	"CCCCCO"	-4.57
"pentan-2-ol"	"CCC[C@@H](C)O"	-4.39
"3-methylheptane"	"CCCC[C@@H](C)CC"	2.97
"ibuprofen"	"CC(C)Cc1ccc([C@H](C)C(=O)O)cc1"	-7.0
"diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate"	"CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC"	-8.15
"3,4-dimethylphenol"	"Cc1ccc(O)cc1C"	-6.5
"4-chloro-3-methyl-phenol"	"Cc1cc(O)ccc1Cl"	-6.79
"hept-2-ene"	"C/C=C/CCCC"	1.68
"1-propoxypropane"	"CCCOCCC"	-1.16
"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol"	"CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O"	-3.2
"terbutryn"	"CCNc1nc(NC(C)(C)C)nc(SC)n1"	-6.68
"2,2,4-trimethylpentane"	"CC(C)CC(C)(C)C"	2.89
"nonan-5-one"	"CCCCC(=O)CCCC"	-2.64
"pebulate"	"CCCCN(CC)C(=O)SCCC"	-3.64
"hept-1-ene"	"C=CCCCCC"	1.66
"isopropyl formate"	"CC(C)OC=O"	-2.02
"1-acetoxyethyl acetate"	"CC(=O)OC(C)OC(C)=O"	-4.97
"5-chlorouracil"	"O=c1[nH]cc(Cl)c(=O)[nH]1"	-17.74
"isopropenylbenzene"	"C=C(C)c1ccccc1"	-1.24
"isopentane"	"CCC(C)C"	2.38
"butyl nitrate"	"CCCCO[N+](=O)[O-]"	-2.09
"bromobenzene"	"Brc1ccccc1"	-1.46
"1,1,1-trichloroethane"	"CC(Cl)(Cl)Cl"	-0.19
"4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde"	"C=C(C)[C@@H]1CC=C(C=O)CC1"	-4.09
"1-methyl-2-nitro-benzene"	"Cc1ccccc1[N+](=O)[O-]"	-3.58
"1-iodoheptane"	"CCCCCCCI"	0.27
"pyrene"	"c1cc2ccc3cccc4ccc(c1)c2c34"	-4.52
"1-chloro-pentane"	"CCCCCCl"	-0.1
"isobutyl acetate"	"CC(=O)OCC(C)C"	-2.36
"2,2-dimethylbutane"	"CCC(C)(C)C"	2.51
"4-nitroaniline"	"Nc1ccc([N+](=O)[O-])cc1"	-9.82
"methyl 2-cyanoacetate"	"COC(=O)CC#N"	-6.72
"4-methoxyaniline"	"COc1ccc(N)cc1"	-7.48
"isobutylbenzene"	"CC(C)Cc1ccccc1"	0.16
"1,3,5-trichloro-2-phenyl-benzene"	"Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1"	-2.16
"methanamine"	"CN"	-4.55
"2-chlorophenol"	"Oc1ccccc1Cl"	-4.55
"2-amino-9,10-anthraquinone"	"Nc1ccc2c(c1)C(=O)c1ccccc1C2=O"	-11.53
"(Z)-1,2-dichloroethylene"	"Cl/C=C\Cl"	-1.17
"hexan-2-one"	"CCCCC(C)=O"	-3.28
"1,2-dinitroxyethane"	"O=[N+]([O-])OCCO[N+](=O)[O-]"	-5.73
"2-fluorophenol"	"Oc1ccccc1F"	-5.29
"pirimor"	"Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C"	-9.41
"styrene"	"C=Cc1ccccc1"	-1.24
"triethylphosphate"	"CCOP(=O)(OCC)OCC"	-7.5
"2,2,2-trifluoroethanol"	"OCC(F)(F)F"	-4.31
"1-butoxy-2-propanol"	"CCCCOC[C@H](C)O"	-5.73
"propan-1-ol"	"CCCO"	-4.85
"o-xylene"	"Cc1ccccc1C"	-0.9
"neopentane"	"CC(C)(C)C"	2.51
"pent-1-yne"	"C#CCCC"	0.01
"phthalimide"	"O=C1NC(=O)c2ccccc21"	-9.61
"1-iodobutane"	"CCCCI"	-0.25
"p-cresol"	"Cc1ccc(O)cc1"	-6.13
"2-iodopropane"	"CC(C)I"	-0.46
"2-methoxyphenol"	"COc1ccccc1O"	-5.94
"cyclopentene"	"C1=CCCC1"	0.56
"111-trifluoropropan-2-ol"	"C[C@@H](O)C(F)(F)F"	-4.2
"propan-1-amine"	"CCCN"	-4.39
"2-nitrophenol"	"O=[N+]([O-])c1ccccc1O"	-4.58
"1-methylnaphthalene"	"Cc1cccc2ccccc12"	-2.44
"hexachlorobenzene"	"Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"	-2.33
"oct-2-enal"	"CCCCC/C=C/C=O"	-3.43
"oct-1-yne"	"C#CCCCCCC"	0.71
"diazinon"	"CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1"	-6.48
"methyl octanoate"	"CCCCCCCC(=O)OC"	-2.04
"pyrrolidine"	"C1CCNC1"	-5.48
"4-hydroxybenzaldehyde"	"O=Cc1ccc(O)cc1"	-8.83
"1-chloroheptane"	"CCCCCCCCl"	0.29
"1,4-dioxane"	"C1COCCO1"	-5.06
