     composition , E_hull         , mu_mu_B , PBE_fund_SOC , PBE_direct_SOC              , HSE_fund , HSE_direct               , m_star , m_e_star  , m_h_star   ,   E_f         
     MPCdBr_3-1D-W,      0.009,        0.0,       2.98(-0.06),            2.98  (-0.06),           ,                ,            0.54,            0.54,           73.85,     -0.384
     MPSnCl_3-1D-W,      0.009,        0.0,       3.30(-0.02),            3.38  (-0.02),           ,                ,            0.87,            0.88,           74.22,     -0.448
 NH_4InBr_3-1D-W,      0.009,       -0.0,       1.54(-0.01),            1.81  (-0.02),       2.43,            2.69,            1.07,            1.11,           33.31,     -0.629
       NH_4GeF_3,      0.009,        0.0,       4.01(-0.02),            4.01  (-0.04),       5.13,            5.14,            0.61,            1.33,            1.11,     -1.324
     MPMgCl_3-1D-W,      0.009,        0.0,       4.51(-0.00),            4.51  (-0.00),           ,                ,            0.65,            0.70,            9.27,     -0.652
   NH_4GeCl_3-2D,      0.009,        0.0,       3.13(-0.04),            3.37  (-0.02),           ,                ,            1.18,            2.26,            2.49,     -0.684
       MSCaBr_3-2D,      0.010,        0.0,       4.15(-0.13),            4.17  (-0.12),           ,                ,            1.04,            1.12,           14.48,     -0.715
     MSTeBr_3-1D-R,      0.010,        0.0,       0.42( 0.12),            0.44  ( 0.13),       1.53,            1.55,           54.27,          122.11,           97.69,     -0.225
H_3SZnCl_3-3D-OR,      0.010,        0.0,       3.94(-0.01),            3.95  (-0.01),           ,                ,            0.57,            0.57,           86.43,     -0.613
       MPGeBr_3-2D,      0.010,        0.0,       3.16(-0.06),            3.28  (-0.05),           ,                ,            1.94,            2.15,           20.11,     -0.318
    MPSrBr_3-3D-OR,      0.010,        0.0,       4.36(-0.08),            4.40  (-0.07),           ,                ,            0.60,            0.64,            8.28,     -0.696
       GSnF_3-1D-W,      0.010,        0.0,       3.95(-0.01),            3.95  (-0.01),           ,                ,            1.41,            1.88,            5.64,     -0.964
NH_4CdBr_3-1D-W\bullet,      0.010,        0.0,       2.93(-0.10),            2.95  (-0.07),           ,                ,            0.42,            0.43,           16.03,     -0.653
      NH_4BeCl_3,      0.010,        0.0,       5.01(-0.01),            5.14  (-0.00),       6.38,            6.51,            0.46,            0.51,            4.93,     -0.877
       MPGeCl_3-2D,      0.010,        0.0,       3.44(-0.01),            3.71  (-0.01),           ,                ,            1.46,            1.52,           39.72,     -0.405
            GZnI_3,      0.010,        0.0,       2.85(-0.16),            3.00  (-0.22),       3.94,            4.07,            0.60,            0.65,            7.61,     -0.387
