"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL3897565";"";"0";"409.40";"0";"4.46";"BDBM193911";"Cc1ccc(-c2nc(C3CC(F)(F)C3)no2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"24.0";"nM";"7.62";"";"346231";"UO_0000065";"18.61";"0.35";"3.16";"8.93";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3903054";"";"0";"416.44";"0";"3.82";"BDBM193917";"CON=C1CC(c2nc(-c3ccc(C)c(NC(=O)c4cnc5ccccn45)c3)no2)C1";"IC50";"'='";"15.0";"nM";"7.82";"";"346237";"UO_0000065";"18.79";"0.34";"4.00";"7.32";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL4112717";"";"0";"445.48";"0";"3.95";"BDBM193919";"Cc1ccc(-c2noc(C3CC4(C3)OC[C@@H](C)O4)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"52.0";"nM";"7.28";"";"346239";"UO_0000065";"16.35";"0.30";"3.33";"7.02";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3897148";"";"0";"445.48";"0";"3.96";"BDBM193920";"Cc1ccc(-c2noc(C3CC4(C3)OCCCO4)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"52.0";"nM";"7.28";"";"346240";"UO_0000065";"16.35";"0.30";"3.32";"7.02";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3909005";"";"0";"409.40";"0";"4.46";"BDBM193923";"Cc1ccc(-c2noc(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"7.0";"nM";"8.15";"";"346243";"UO_0000065";"19.92";"0.37";"3.69";"9.56";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3901679";"";"0";"456.51";"0";"4.61";"BDBM193925";"Cc1ccc(-c2noc(C3CC(=NOCC4CC4)C3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"35.0";"nM";"7.46";"";"346245";"UO_0000065";"16.33";"0.30";"2.85";"6.97";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3908289";"";"0";"403.44";"0";"3.84";"BDBM194084";"CO[C@H]1C[C@@H](c2nc(-c3ccc(C)c(NC(=O)c4cnc5ccccn45)c3)no2)C1";"IC50";"'='";"9.0";"nM";"8.05";"";"346249";"UO_0000065";"19.94";"0.37";"4.21";"8.51";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3955836";"";"0";"466.52";"0";"2.87";"BDBM193937";"Cc1ccc(-c2noc(C3(NS(C)(=O)=O)CCC3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"95.0";"nM";"7.02";"";"346258";"UO_0000065";"15.05";"0.29";"4.15";"5.34";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3914934";"";"0";"521.45";"2";"5.54";"BDBM193961";"Cc1ccc(-c2noc(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnc2ccc(COCC(F)(F)F)cn12";"IC50";"'='";"79.0";"nM";"7.10";"";"346282";"UO_0000065";"13.62";"0.26";"1.56";"7.51";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3985800";"";"0";"401.47";"0";"4.85";"BDBM193967";"Cc1ccc(-c2noc(C3CC(C)(C)C3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"20.0";"nM";"7.70";"";"346288";"UO_0000065";"19.18";"0.35";"2.85";"9.02";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3926364";"";"0";"401.47";"0";"4.85";"BDBM193987";"CCC1CC(c2nc(-c3ccc(C)c(NC(=O)c4cnc5ccccn45)c3)no2)C1";"IC50";"'='";"10.0";"nM";"8.00";"";"346308";"UO_0000065";"19.93";"0.36";"3.15";"9.38";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3903979";"";"0";"423.42";"0";"4.77";"BDBM193978";"Cc1ccn2c(C(=O)Nc3cc(-c4noc(C5CC(F)(F)C5)n4)ccc3C)cnc2c1";"IC50";"'='";"19.0";"nM";"7.72";"";"346310";"UO_0000065";"18.24";"0.34";"2.95";"9.05";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL4115018";"";"0";"395.37";"0";"4.07";"BDBM193995";"Cc1ccc(-c2noc([C@H]3CC3(F)F)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"46.0";"nM";"7.34";"";"346317";"UO_0000065";"18.56";"0.35";"3.27";"8.60";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3904217";"";"0";"471.44";"0";"4.42";"BDBM193997";"Cc1ccn2c(C(=O)Nc3cc(-c4noc([C@H]5C[C@](O)(C(F)(F)F)C5)n4)ccc3C)cnc2c1";"IC50";"'='";"25.0";"nM";"7.60";"";"346319";"UO_0000065";"16.13";"0.31";"3.18";"7.20";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3900616";"";"0";"522.56";"2";"5.07";"BDBM194003";"Cc1ccc(-c2noc(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnc2ccc(N3C[C@H](C)O[C@H](C)C3)cn12";"IC50";"'='";"46.0";"nM";"7.34";"";"346326";"UO_0000065";"14.04";"0.26";"2.27";"7.50";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL4115110";"";"0";"549.56";"1";"5.00";"BDBM194006";"COCC[N+]1=NC(c2ccc3ncc(C(=O)Nc4cc(-c5noc(C6CC(F)(F)C6)n5)ccc4C)n3c2)N=C1C";"IC50";"'='";"44.0";"nM";"7.36";"";"346329";"UO_0000065";"13.39";"0.25";"2.36";"6.02";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3968097";"";"0";"489.43";"0";"4.81";"BDBM194010";"Cc1ccc2ncc(C(=O)Nc3cc(-c4noc(COC5CC(F)(F)C5(F)F)n4)ccc3C)n2c1";"IC50";"'='";"16.0";"nM";"7.80";"";"346333";"UO_0000065";"15.93";"0.30";"2.99";"8.25";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3900488";"";"0";"359.39";"0";"3.82";"BDBM194011";"Cc1ccc(-c2noc(C3CC3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"57.0";"nM";"7.24";"";"346334";"UO_0000065";"20.16";"0.37";"3.42";"8.49";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3905003";"";"0";"416.44";"0";"4.04";"BDBM194028";"Cc1ccc(-c2noc(C3CC/C(=N/O)C3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"147.0";"nM";"6.83";"";"346351";"UO_0000065";"16.41";"0.30";"2.79";"5.79";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3948219";"";"0";"403.44";"0";"3.57";"BDBM194030";"Cc1ccc(-c2noc([C@H]3C[C@@](C)(O)C3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"119.0";"nM";"6.92";"";"346353";"UO_0000065";"17.16";"0.32";"3.35";"6.56";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3972489";"";"0";"488.55";"0";"4.72";"BDBM194037";"Cc1ccc(-c2noc([C@H]3C[C@H](NC(=O)OC(C)(C)C)C3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"353.0";"nM";"6.45";"";"346360";"UO_0000065";"13.21";"0.24";"1.73";"5.22";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3893688";"";"0";"460.49";"0";"3.77";"BDBM194040";"Cc1ccc(-c2noc(CCNC(=O)OC3(C)CC3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"106.0";"nM";"6.97";"";"346363";"UO_0000065";"15.15";"0.28";"3.20";"5.64";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3926159";"";"0";"388.43";"0";"3.28";"BDBM194047";"Cc1ccc(-c2noc(C3(N)CCC3)n2)cc1NC(=O)c1cnc2ccccn12";"IC50";"'='";"197.0";"nM";"6.71";"";"346370";"UO_0000065";"17.26";"0.32";"3.43";"6.02";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL3962822";"";"0";"481.46";"0";"4.47";"BDBM194081";"Cc1ccc(-c2noc(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnc2ccc(CCC(=O)O)cn12";"IC50";"'>'";"10000.0";"nM";"";"";"346404";"UO_0000065";"";"";"";"";"0";"CHEMBL3887627";"Cell Proliferation Assay: The compounds was tested for inhibition of SCF dependent proliferation using human Mo7e cells which endogenously express c-kit in a 384 well format. Three-fold serially diluted test compounds (Cmax=10 mM) were evaluated for their antiproliferative activity of Mo7e cells stimulated with human recombinant SCF. After 48 hours of incubation at 37° C., cell viability was measured by adding 25 uL of CellTiter Glo (Promega) to the cells and the luminescence was measured by a CLIPR CCD camera (Molecular Devices).";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Mo7e";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886388";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL2386595";"";"0";"496.63";"0";"4.59";"3";"[2H]C([2H])([2H])N1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1";"IC50";"'='";"115.0";"nM";"6.94";"";"";"UO_0000065";"14.06";"0.26";"2.35";"8.04";"0";"CHEMBL2388049";"Inhibition of KIT K642E mutant (unknown origin) expressed in human GIST882 cells assessed as cell growth inhibition by ATP-depletion assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"P10721";"K642E";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2384911";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"None";""
"CHEMBL941";"IMATINIB";"4";"493.62";"0";"4.59";"1";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1";"IC50";"'='";"108.0";"nM";"6.97";"";"";"UO_0000065";"14.11";"0.26";"2.38";"8.07";"0";"CHEMBL2388049";"Inhibition of KIT K642E mutant (unknown origin) expressed in human GIST882 cells assessed as cell growth inhibition by ATP-depletion assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"P10721";"K642E";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2384911";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"None";""
"CHEMBL219998";"";"0";"387.44";"0";"4.77";"Table 3, 14";"COc1ccc(-c2ccc(NC(=O)Nc3cccc(C)c3)cc2)c2c(N)n[nH]c12";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"19.49";"0.36";"2.78";"7.19";"0";"CHEMBL1114167";"Inhibition of c-Kit by HTRF method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153720";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"None";""
"CHEMBL219727";"";"0";"436.31";"1";"5.53";"Table 3, 15";"Cc1cccc(NC(=O)Nc2ccc(-c3ccc(Br)c4[nH]nc(N)c34)cc2)c1";"IC50";"'='";"39.0";"nM";"7.41";"";"";"UO_0000065";"16.98";"0.36";"1.88";"7.73";"0";"CHEMBL1114167";"Inhibition of c-Kit by HTRF method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153720";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"None";""
